cell_number,From,message,Date
995577233970,Zadarma.com,Zadarma code: 732148,10 Minutes ago
995577233970,BCGAME,Your BC GAME verification code is: 742333,25 Minutes ago
995577233970,Rambler.ru,Код для регистрации в Rambler&Co: 977665,25 Minutes ago
995577233970,TikTok,[#][TikTok] 557039 est votre code de vérification. fJpzQvK2eu1,46 Minutes ago
995577233970,WHATNOT,Your Whatnot verification code is: 193317,1 Hour ago
995577233970,betlive,"▶️ უსასრულო iPhone 15, ყოველდღიური FREESPINS და მთავარი პრიზები: 2 - BMW M4 Competition, BMW 3 Series, BMW 4 Series თამაშდება BONUSER-ში! Greendoov6, გარანტირებული მოგება ახალ ჯეკპოტ თამაშში! www.lo.ge/WgTYum0 NO-90880",1 Hour ago
995577233970,betlive,"▶️ დეპოზიტი=100% FREESPINS! Greendoov6, 100-მდე 0.20₾ FREESPINS დაირიცხება დღის პირველი, მინ. 10₾ დეპოზიტის სლოტებში გათამაშების შემდეგ EGT Interactive სლოტზე - Dice&Roll! აქცია აქტიურია 16 მაისის 23:59 საათამდე! www.lo.ge/c4QPSo0 NO-90880",2 Hours ago
995577233970,LIKEE,"Likee code: 918667. You are setting the password, please don't share this code.",2 Hours ago
995577233970,TINDER,Your Tinder code is 651135 Don’t share @tinder.com #651135,2 Hours ago
995577233970,Proton,Your Proton verification code is: 359349,2 Hours ago
